filename,width,height,class,xmin,ymin,xmax,ymax
train_1.jpg,1920,1080,luggage,1057,803,1153,904
train_1.jpg,1920,1080,luggage,882,522,967,654
train_1.jpg,1920,1080,luggage,1138,283,1183,347
train_1.jpg,1920,1080,luggage,837,238,916,296
train_1.jpg,1920,1080,luggage,1035,40,1074,103
train_1.jpg,1920,1080,backpack,1000,37,1043,97
train_1.jpg,1920,1080,people,774,469,903,751
train_1.jpg,1920,1080,people,1012,459,1134,578
train_1.jpg,1920,1080,people,951,197,1023,279
train_1.jpg,1920,1080,people,1224,229,1285,295
train_1.jpg,1920,1080,people,1066,1,1139,109
train_1.jpg,1920,1080,people,829,63,885,131
train_1.jpg,1920,1080,people,792,8,852,69
train_10.jpg,1920,1080,luggage,880,526,962,628
train_10.jpg,1920,1080,luggage,1059,803,1152,910
train_10.jpg,1920,1080,luggage,1137,285,1196,351
train_10.jpg,1920,1080,backpack,1050,536,1120,632
train_10.jpg,1920,1080,backpack,832,237,921,301
train_10.jpg,1920,1080,bag,575,156,646,237
train_10.jpg,1920,1080,people,775,477,898,733
train_10.jpg,1920,1080,people,1096,494,1189,745
train_10.jpg,1920,1080,bag,1092,533,1169,631
train_10.jpg,1920,1080,people,1471,758,1683,1074
train_10.jpg,1920,1080,people,1006,453,1124,570
train_10.jpg,1920,1080,people,917,114,984,283
train_10.jpg,1920,1080,people,964,208,1015,285
train_10.jpg,1920,1080,people,1221,228,1289,304
train_10.jpg,1920,1080,people,1260,154,1317,220
train_10.jpg,1920,1080,people,1073,1,1133,117
train_10.jpg,1920,1080,people,988,1,1041,86
train_10.jpg,1920,1080,people,598,67,701,254
train_10.jpg,1920,1080,people,816,68,889,147
train_10.jpg,1920,1080,backpack,835,110,882,176
train_10.jpg,1920,1080,luggage,1029,36,1070,109
train_10.jpg,1920,1080,backpack,1002,41,1048,100
train_10.jpg,1920,1080,people,794,4,853,72
train_10.jpg,1920,1080,bag,1010,219,1051,291
train_10.jpg,1920,1080,people,719,287,826,427
train_10.jpg,1920,1080,bag,341,405,425,535
train_10.jpg,1920,1080,bag,314,532,410,645
train_100.jpg,1920,1080,people,766,469,897,740
train_100.jpg,1920,1080,people,1012,449,1133,591
train_100.jpg,1920,1080,people,1226,223,1291,294
train_100.jpg,1920,1080,people,1262,155,1314,224
train_100.jpg,1920,1080,people,1076,1,1134,122
train_100.jpg,1920,1080,people,540,1,633,115
train_100.jpg,1920,1080,people,953,199,1033,288
train_100.jpg,1920,1080,people,826,69,894,131
train_100.jpg,1920,1080,luggage,880,513,967,667
train_100.jpg,1920,1080,luggage,1056,795,1152,910
train_100.jpg,1920,1080,luggage,1132,281,1193,358
train_100.jpg,1920,1080,bag,332,399,421,533
train_100.jpg,1920,1080,bag,316,538,415,658
train_100.jpg,1920,1080,people,990,1,1038,81
train_100.jpg,1920,1080,luggage,1024,33,1071,111
train_100.jpg,1920,1080,bag,1011,222,1047,301
train_101.jpg,1920,1080,people,542,1,619,111
train_101.jpg,1920,1080,people,776,469,897,747
train_101.jpg,1920,1080,people,1010,453,1134,578
train_101.jpg,1920,1080,people,953,197,1019,288
train_101.jpg,1920,1080,people,1072,1,1134,114
train_101.jpg,1920,1080,people,981,1,1030,68
train_101.jpg,1920,1080,people,1257,159,1314,217
train_101.jpg,1920,1080,luggage,1056,797,1155,913
train_101.jpg,1920,1080,luggage,884,522,969,654
train_101.jpg,1920,1080,luggage,1138,285,1189,354
train_101.jpg,1920,1080,luggage,1033,38,1070,109
train_101.jpg,1920,1080,people,797,9,851,73
train_101.jpg,1920,1080,people,1232,223,1287,297
train_101.jpg,1920,1080,people,1162,38,1228,191
train_101.jpg,1920,1080,bag,1178,124,1226,163
train_101.jpg,1920,1080,people,714,295,828,392
train_101.jpg,1920,1080,bag,325,400,415,522
train_101.jpg,1920,1080,bag,307,524,401,646
train_102.jpg,1920,1080,luggage,875,520,971,663
train_102.jpg,1920,1080,luggage,1057,799,1155,908
train_102.jpg,1920,1080,luggage,1033,39,1073,99
train_102.jpg,1920,1080,luggage,1139,281,1180,354
train_102.jpg,1920,1080,bag,341,402,426,531
train_102.jpg,1920,1080,bag,307,525,413,656
train_102.jpg,1920,1080,people,765,470,894,734
train_102.jpg,1920,1080,people,1001,454,1135,581
train_102.jpg,1920,1080,people,1259,157,1307,227
train_102.jpg,1920,1080,people,1190,57,1258,199
train_102.jpg,1920,1080,people,1077,2,1135,108
train_102.jpg,1920,1080,people,957,199,1012,270
train_102.jpg,1920,1080,bag,991,211,1045,298
train_102.jpg,1920,1080,people,549,1,612,89
train_103.jpg,1920,1080,luggage,1055,795,1157,905
train_103.jpg,1920,1080,luggage,877,521,973,660
train_103.jpg,1920,1080,luggage,1029,36,1075,107
train_103.jpg,1920,1080,people,770,481,910,743
train_103.jpg,1920,1080,people,1012,457,1136,572
train_103.jpg,1920,1080,people,725,292,822,382
train_103.jpg,1920,1080,people,957,204,1023,273
train_103.jpg,1920,1080,people,548,1,612,85
train_103.jpg,1920,1080,people,1178,50,1248,199
train_103.jpg,1920,1080,people,1065,1,1130,112
train_103.jpg,1920,1080,people,991,1,1042,82
train_103.jpg,1920,1080,bag,323,398,422,533
train_103.jpg,1920,1080,bag,306,517,416,650
train_103.jpg,1920,1080,people,1220,225,1288,302
train_103.jpg,1920,1080,people,1255,160,1315,215
train_104.jpg,1920,1080,luggage,1052,798,1155,905
train_104.jpg,1920,1080,luggage,878,518,973,654
train_104.jpg,1920,1080,people,774,479,894,733
train_104.jpg,1920,1080,people,1007,454,1135,565
train_104.jpg,1920,1080,people,955,204,1020,275
train_104.jpg,1920,1080,bag,997,221,1045,299
train_104.jpg,1920,1080,bag,342,399,416,534
train_104.jpg,1920,1080,bag,309,530,416,659
train_104.jpg,1920,1080,people,1210,66,1262,198
train_104.jpg,1920,1080,bag,1212,134,1257,179
train_104.jpg,1920,1080,people,1226,227,1286,291
train_104.jpg,1920,1080,people,1073,1,1132,105
train_104.jpg,1920,1080,people,984,1,1041,83
train_106.jpg,1920,1080,people,1015,466,1141,560
train_106.jpg,1920,1080,people,770,476,897,740
train_106.jpg,1920,1080,people,955,201,1020,278
train_106.jpg,1920,1080,people,1075,1,1132,115
train_106.jpg,1920,1080,luggage,330,398,428,531
train_106.jpg,1920,1080,luggage,307,531,413,649
train_106.jpg,1920,1080,luggage,878,510,973,647
train_106.jpg,1920,1080,luggage,1055,799,1149,914
train_106.jpg,1920,1080,people,1228,224,1286,289
train_106.jpg,1920,1080,people,992,1,1038,72
train_106.jpg,1920,1080,people,1229,88,1299,202
train_107.jpg,1920,1080,people,771,475,894,741
train_107.jpg,1920,1080,people,1017,456,1133,566
train_107.jpg,1920,1080,people,719,295,826,381
train_107.jpg,1920,1080,people,952,204,1016,281
train_107.jpg,1920,1080,people,1067,1,1136,111
train_107.jpg,1920,1080,luggage,886,520,964,662
train_107.jpg,1920,1080,luggage,1059,796,1157,911
train_107.jpg,1920,1080,people,1228,234,1287,288
train_107.jpg,1920,1080,bag,338,396,425,536
train_107.jpg,1920,1080,bag,317,530,410,654
train_108.jpg,1920,1080,luggage,1054,796,1159,907
train_108.jpg,1920,1080,luggage,870,520,970,657
train_108.jpg,1920,1080,bag,315,530,401,644
train_108.jpg,1920,1080,bag,325,402,426,537
train_108.jpg,1920,1080,people,713,294,822,386
train_108.jpg,1920,1080,people,768,467,904,725
train_108.jpg,1920,1080,people,1010,446,1128,569
train_108.jpg,1920,1080,people,954,194,1030,279
train_108.jpg,1920,1080,people,1226,224,1286,298
train_108.jpg,1920,1080,people,1066,1,1138,111
train_108.jpg,1920,1080,bag,1000,218,1044,294
train_109.jpg,1920,1080,luggage,1051,798,1161,912
train_109.jpg,1920,1080,luggage,868,518,978,656
train_109.jpg,1920,1080,bag,328,402,420,541
train_109.jpg,1920,1080,bag,316,515,416,652
train_109.jpg,1920,1080,people,758,466,900,728
train_109.jpg,1920,1080,people,1023,450,1129,560
train_109.jpg,1920,1080,people,707,295,828,379
train_109.jpg,1920,1080,people,1071,1,1135,107
train_109.jpg,1920,1080,people,992,1,1039,76
train_109.jpg,1920,1080,luggage,1138,279,1181,353
train_11.jpg,1920,1080,luggage,878,521,965,631
train_11.jpg,1920,1080,luggage,1055,804,1151,904
train_11.jpg,1920,1080,luggage,1145,286,1180,346
train_11.jpg,1920,1080,luggage,1033,41,1073,107
train_11.jpg,1920,1080,bag,575,156,644,233
train_11.jpg,1920,1080,bag,339,402,420,534
train_11.jpg,1920,1080,bag,313,534,412,649
train_11.jpg,1920,1080,bag,1091,536,1178,633
train_11.jpg,1920,1080,backpack,1042,539,1123,631
train_11.jpg,1920,1080,people,1470,757,1678,1052
train_11.jpg,1920,1080,people,1096,496,1187,717
train_11.jpg,1920,1080,people,780,482,897,728
train_11.jpg,1920,1080,people,1015,459,1123,592
train_11.jpg,1920,1080,people,910,108,984,270
train_11.jpg,1920,1080,people,951,204,1016,283
train_11.jpg,1920,1080,people,604,65,696,260
train_11.jpg,1920,1080,people,1075,1,1130,114
train_11.jpg,1920,1080,people,1259,163,1309,215
train_11.jpg,1920,1080,people,1216,230,1287,291
train_11.jpg,1920,1080,people,991,1,1033,85
train_11.jpg,1920,1080,people,712,291,829,391
train_111.jpg,1920,1080,bag,348,398,417,539
train_111.jpg,1920,1080,bag,309,523,401,654
train_111.jpg,1920,1080,people,1006,456,1129,556
train_111.jpg,1920,1080,people,767,473,901,736
train_111.jpg,1920,1080,luggage,881,517,975,650
train_111.jpg,1920,1080,luggage,1076,1,1135,110
train_111.jpg,1920,1080,people,707,292,826,382
train_111.jpg,1920,1080,people,952,201,1029,270
train_111.jpg,1920,1080,luggage,1057,798,1155,908
train_112.jpg,1920,1080,luggage,877,515,971,649
train_112.jpg,1920,1080,luggage,1055,796,1159,907
train_112.jpg,1920,1080,people,771,479,903,737
train_112.jpg,1920,1080,people,1007,459,1142,576
train_112.jpg,1920,1080,people,1071,1,1144,112
train_112.jpg,1920,1080,people,961,205,1039,275
train_112.jpg,1920,1080,bag,346,396,419,539
train_112.jpg,1920,1080,bag,310,515,415,653
train_112.jpg,1920,1080,people,710,291,823,381
train_113.jpg,1920,1080,luggage,1055,801,1155,902
train_113.jpg,1920,1080,luggage,875,518,973,654
train_113.jpg,1920,1080,people,768,478,900,731
train_113.jpg,1920,1080,people,1010,459,1129,572
train_113.jpg,1920,1080,people,1230,228,1286,288
train_113.jpg,1920,1080,people,1060,1,1135,115
train_113.jpg,1920,1080,bag,341,404,417,531
train_113.jpg,1920,1080,bag,304,521,415,662
train_114.jpg,1920,1080,luggage,1054,799,1157,912
train_114.jpg,1920,1080,luggage,874,520,970,652
train_114.jpg,1920,1080,people,770,473,899,734
train_114.jpg,1920,1080,people,1012,449,1136,565
train_114.jpg,1920,1080,people,1223,231,1288,283
train_114.jpg,1920,1080,people,1069,1,1130,112
train_114.jpg,1920,1080,people,709,295,832,386
train_114.jpg,1920,1080,bag,325,401,420,531
train_114.jpg,1920,1080,bag,309,512,407,652
train_114.jpg,1920,1080,people,955,205,1029,275
train_115.jpg,1920,1080,luggage,1055,798,1157,901
train_115.jpg,1920,1080,luggage,880,521,967,637
train_115.jpg,1920,1080,bag,341,405,416,531
train_115.jpg,1920,1080,bag,307,531,416,660
train_115.jpg,1920,1080,people,775,482,901,725
train_115.jpg,1920,1080,people,1007,457,1133,557
train_115.jpg,1920,1080,people,707,295,829,376
train_115.jpg,1920,1080,people,1075,1,1133,111
train_115.jpg,1920,1080,people,1225,227,1283,285
train_116.jpg,1920,1080,people,1013,462,1133,547
train_116.jpg,1920,1080,people,771,472,897,727
train_116.jpg,1920,1080,people,958,208,1026,270
train_116.jpg,1920,1080,people,1225,221,1281,291
train_116.jpg,1920,1080,people,1074,1,1135,117
train_116.jpg,1920,1080,people,712,288,825,383
train_116.jpg,1920,1080,luggage,1055,795,1154,911
train_116.jpg,1920,1080,luggage,878,517,974,653
train_116.jpg,1920,1080,bag,328,399,423,533
train_116.jpg,1920,1080,bag,296,507,401,650
train_117.jpg,1920,1080,luggage,1055,791,1155,910
train_117.jpg,1920,1080,luggage,875,520,974,647
